designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,r_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J202427.26+404116.1,306.1135994,40.6878067,20h24m27.26s,40d41m16.10s,0.2010,0.1487,0.0553,13.238,0.091,12.0,7.912E+00,13.194,0.103,10.5,2.354E+00,9.469,0.348,3.1,4.442E-01,6.742,0.277,3.9,3.309E-01,2,0,0.000,0.000,0.000,0.000,1672,170,-1996,388,000D,1,11nn,AABB,0000,40,49,40,49,6,19,1,19,305645443,1.162,15.800,0.065,14.202,0.042,13.521,0.047,915.280226,110.825337
J202333.88+403202.0,305.8912013,40.5338995,20h23m33.89s,40d32m02.04s,0.1735,0.1783,-0.0430,14.284,0.071,15.2,2.167E+00,14.582,0.132,8.2,1.132E+00,11.582,null,-9.3,1.351E+00,7.574,null,-3.1,7.487E-01,1,0,0.000,0.000,0.000,0.000,92,229,103,234,0hd0,0,11nn,ABUU,0000,49,49,26,49,0,0,0,19,305626571,0.541,14.983,0.033,14.314,0.041,14.117,0.069,915.370983,164.218048
J202414.92+405616.9,306.0621738,40.9380354,20h24m14.92s,40d56m16.93s,0.0548,0.0526,-0.0079,12.330,0.029,37.2,2.202E+00,12.315,0.028,38.2,1.432E+00,11.932,null,-3.7,9.108E-01,8.802,null,-2.8,1.198E+00,2,1,0.000,0.000,0.000,0.000,128,48,105,48,0000,0,nnnn,AAUU,0000,57,57,57,57,0,22,0,22,305643453,0.154,14.780,0.032,13.284,0.025,12.701,0.027,915.483815,51.094348
J202255.77+403146.4,305.7324108,40.5295708,20h22m55.78s,40d31m46.45s,0.0760,0.0750,-0.0126,13.105,0.034,31.9,1.800E+00,13.106,0.046,23.6,1.282E+00,12.345,null,-1.8,8.753E-01,8.539,null,-11.0,1.450E+00,1,0,0.000,0.000,0.000,0.000,96,83,-135,83,0hDD,0,21nn,AAUU,0000,43,43,43,43,0,18,0,18,305546426,0.322,14.982,0.039,13.899,0.036,13.501,0.050,915.499070,191.691362
J202339.95+410102.3,305.9164782,41.0173124,20h23m39.95s,41d01m02.32s,0.0390,0.0366,0.0099,10.931,0.024,46.2,7.459E+00,10.898,0.020,54.6,4.269E+00,10.427,null,0.9,2.965E-01,8.243,null,-2.7,7.122E-01,1,0,0.000,0.000,0.000,0.000,42,34,84,34,0d00,1,34nn,AAUU,0000,55,55,56,56,0,20,0,20,305630665,0.261,12.300,0.023,11.609,0.020,11.282,0.019,915.686707,20.175218
J202217.01+405752.9,305.5708943,40.9647194,20h22m17.01s,40d57m52.99s,0.1536,0.1626,-0.0458,14.194,0.065,16.6,1.144E+00,14.084,0.087,12.5,1.030E+00,11.144,null,1.6,6.110E-01,5.974,0.129,8.4,3.167E+00,2,0,0.000,0.000,0.000,0.000,-229,284,232,255,0h00,1,21n0,AAUB,0000,48,48,39,48,0,20,16,21,305530846,0.082,16.700,0.144,15.336,0.104,14.452,0.093,915.714210,317.097582
J202233.05+410004.9,305.6377085,41.0013640,20h22m33.05s,41d00m04.91s,0.1386,0.1684,0.0709,12.979,0.075,14.5,1.321E+00,13.051,0.095,11.5,1.118E+00,10.085,0.251,4.3,8.871E-01,5.894,null,-0.1,1.286E-01,2,1,0.000,0.000,0.000,0.002,null,null,null,null,hhd0,0,nnnn,AABU,0000,56,56,55,55,15,25,0,25,305531114,0.586,15.531,0.057,14.083,0.041,13.556,0.048,915.745041,331.175910
J202432.61+404609.6,306.1358880,40.7693396,20h24m32.61s,40d46m09.62s,0.0795,0.0796,-0.0176,13.707,0.041,26.3,2.121E+00,13.225,0.038,28.6,1.626E+00,11.281,null,-2.7,5.984E-01,8.224,null,-5.2,8.479E-01,1,0,0.000,0.000,0.000,0.000,261,96,-150,98,0000,0,76nn,AAUU,0000,56,56,56,56,0,17,0,20,305644759,0.193,16.622,0.135,15.286,0.100,14.568,0.104,915.751294,91.981172
J202152.07+404447.8,305.4669710,40.7466140,20h21m52.07s,40d44m47.81s,0.0820,0.0825,-0.0183,14.093,0.036,30.0,2.698E+00,14.398,0.053,20.3,1.257E+00,11.261,null,-1.8,4.805E-01,6.818,null,1.0,7.149E-01,1,0,0.000,0.000,0.000,0.000,463,132,302,135,00Pd,0,10nn,AAUU,0000,51,51,47,51,0,23,1,26,305442867,0.159,16.364,0.118,14.797,0.074,14.290,0.087,915.923901,262.881961
J202152.95+404944.4,305.4706399,40.8290082,20h21m52.95s,40d49m44.43s,0.1233,0.1469,-0.0399,14.107,0.054,20.0,1.854E+00,14.420,0.094,11.6,1.228E+00,11.275,null,-3.5,6.585E-01,8.001,null,-6.8,1.126E+00,2,1,0.000,0.000,0.000,0.000,-128,173,-438,180,0000,0,nnnn,AAUU,0000,41,41,30,41,0,11,0,18,305442215,0.292,15.094,0.043,14.391,0.055,14.204,0.084,916.222752,281.526742
